6,p=0.5,p=0.25,p=0.75,p=0.85,p=0.95,p=1
instance seed:0,52341.639011,68519.120708,38718.882381,33360.305427,28866.698525,27843.932007
instance seed:1,52989.083045,68274.333277,39202.804153,33784.234789,29069.175271,28071.249878
instance seed:2,52985.176388,67536.532162,39374.545012,34259.187465,29361.604255,28343.714979
instance seed:3,52005.445773,67787.714546,38886.519620,33932.584485,28773.002500,27485.921331
instance seed:4,53335.161494,68032.045311,39187.797525,33641.025199,28847.208260,27114.011962
instance seed:5,53015.666430,67807.063269,38882.371428,33706.546398,28847.208260,28028.442603
instance seed:6,52922.907477,67548.479706,38918.557854,33693.660256,29026.853479,27985.611881
instance seed:7,53330.167576,68805.992422,38987.005727,33882.361420,29137.815380,27379.329077
instance seed:8,52782.024540,67592.180891,39024.941392,33129.520715,28342.884351,27066.035902
instance seed:9,53702.023596,68758.838297,39063.524744,34084.312858,29307.129938,28467.103774
