4,p=0.985,p=0.965,p=0.95,p=1
instance seed:0,27285.858735,28081.548306,28866.698525,27843.932007
instance seed:1,27544.133792,28713.583818,29069.175271,28071.249878
instance seed:2,28323.733178,28781.591375,29361.604255,28343.714979
instance seed:3,27465.270839,28280.343871,28773.002500,27485.921331
instance seed:4,27320.454384,28163.651219,28847.208260,27114.011962
instance seed:5,27828.328832,28636.610403,28847.208260,28028.442603
instance seed:6,27919.914347,28568.093675,29026.853479,27985.611881
instance seed:7,27430.587462,28327.640236,29137.815380,27379.329077
instance seed:8,26968.554175,28027.277660,28342.884351,27066.035902
instance seed:9,28124.413710,28528.369923,29307.129938,28467.103774
