6,Greedy_p0.985,Extra-Mileage_p0.15,Greedy_p0.985_2OPT,Extra-Mileage_p0.15_2OPT,Greedy_p0.985_TABU,Extra-Mileage_p0.15_TABU,Greedy_p0.985_VNS_1kick,Extra-Mileage_p0.15_VNS_1kick,Greedy_p0.985_VNS_3kick,Extra-Mileage_p0.15_VNS_3kick,Greedy_p0.985_VNS_5kick,Extra-Mileage_p0.15_VNS_5kick,Greedy_p0.985_Simulated-Annealing,Extra-Mileage_p0.15_Simulated-Annealing
instance seed:0,27285.858735,26983.086710,24075.316581,25807.266006,23655.993807,23894.454162,24075.316581,25807.266006,23917.338142,24770.868761,23955.879353,25215.407431,24613.279278,25819.302268
instance seed:1,27544.133792,27266.812973,24589.944726,25799.677587,24119.508798,24406.943800,24589.944726,25799.677587,24337.508890,24732.663183,24488.613580,25097.465118,24925.790690,26023.413478
instance seed:2,28323.733178,27440.983876,24837.038461,26127.760296,24281.249771,24386.504869,24837.038461,26127.760296,24536.736281,25352.984415,24612.333774,25631.018052,25575.946837,26214.212387
instance seed:3,27465.270839,26878.905963,24395.488853,25577.060444,23730.741061,24121.488786,24395.488853,25577.060444,23736.554053,24764.636597,24052.103286,25100.265278,24919.290109,25716.907398
instance seed:4,27320.454384,26641.971619,24187.670312,25682.374979,23682.196117,24046.456850,24187.670312,25682.374979,23997.770238,24715.280064,24116.002767,25430.011490,24846.926599,25728.838047
instance seed:5,27828.328832,27307.980597,24443.086585,26083.087841,23845.183444,24206.351545,24443.086585,26083.087841,24443.378174,24656.007170,24208.835232,25385.822591,25091.214114,26303.604519
instance seed:6,27919.914347,27079.522605,24447.760261,25914.957164,23996.943722,24397.171626,24447.760261,25914.957164,24364.991507,24787.774265,24406.041808,25528.912206,24900.767146,26001.297010
instance seed:7,27430.587462,27522.486348,24595.203820,25908.028006,23913.889781,24437.212990,24398.547115,25908.028006,24258.571199,24965.103309,24202.664162,25424.000775,24936.482813,26212.362987
instance seed:8,26968.554175,27278.448425,23967.051839,25586.352311,23555.020126,23806.256067,23967.051839,25586.352311,23692.263675,24513.939455,23863.161606,24883.491177,24475.612099,25780.451228
instance seed:9,28124.413710,27314.529330,24387.983109,25915.282383,23979.976147,24200.351635,24387.983109,25915.282383,24381.286919,24946.065932,24387.983109,25426.620794,25181.116899,26113.718548
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,./tsp -p 0.985 -tl27000 -n 1000 -modelExtra-Mileagey -refinement 1 -meta Simulated -reftl9800 -seed 01,,,,,,,,,,,,
