3,Benders,Callback,Callback_heu,Hard-Fixing,Hard-Fixing_heu,Local,Local_heu
instance seed:0,16569.950426,16569.950426,16569.950426,16569.950426,16569.950426,16580.106530,16594.192882
instance seed:1,16458.198469,16458.198469,16458.198469,16458.198469,16458.198469,16458.198469,16458.198469
instance seed:2,16870.284652,16870.284652,16871.047495,16870.284652,16870.284652,16870.284652,16870.284652
instance seed:3,16603.675992,16603.675992,16603.675992,16603.675992,16603.675992,16603.675992,16603.675992
instance seed:4,16330.382205,16330.382205,16330.382205,16330.382205,16330.382205,16419.145248,16422.243406
instance seed:5,16707.783368,16707.783368,16707.912426,16707.783368,16707.783368,16707.783368,16770.258490
instance seed:6,16649.861511,16649.861511,16650.125179,16649.861511,16649.861511,16649.861511,16649.861511
instance seed:7,16431.451735,16431.451735,16431.451735,16431.451735,16431.451735,16431.451735,16501.647062
instance seed:8,16419.557826,16419.557826,16419.557826,16419.557826,16419.557826,16419.557826,16419.557826
instance seed:9,16454.864045,16454.864045,16454.864045,16454.864045,16454.864045,16491.925420,16528.756083
